物件名,住所,アクセス,築年数,構造,階数,間取り,面積,家賃,管理費
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1K,43.06m2,19.6万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1LDK,43.06m2,19.7万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1K,43.06m2,19.7万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1LDK,43.06m2,19.7万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,4階,1LDK,43.06m2,20.2万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,4階,1LDK,43.06m2,20.3万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,4階,1LDK,43.06m2,20.8万円,10000円
プレノ小石川,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩7分 都営三田線/白山駅 歩18分 都営三田線/千石駅 歩22分,築19年,9階建,5階,2LDK,86.57m2,42万円,10000円
プレノ小石川,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩7分 都営三田線/白山駅 歩18分 都営三田線/千石駅 歩22分,築19年,9階建,5階,2LDK,86.57m2,42万円,10000円
プレノ小石川,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩7分 都営三田線/白山駅 歩18分 都営三田線/千石駅 歩22分,築19年,9階建,5階,2LDK,86.57m2,42万円,10000円
プレノ小石川,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩7分 都営三田線/白山駅 歩18分 都営三田線/千石駅 歩22分,築19年,9階建,5階,2LDK,86.57m2,42万円,10000円
プレノ小石川,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩7分 都営三田線/白山駅 歩18分 都営三田線/千石駅 歩22分,築19年,9階建,5階,2LDK,86.57m2,42万円,10000円
レジディア文京小石川2,東京都文京区小石川３,東京メトロ丸ノ内線/後楽園駅 歩5分 都営三田線/春日駅 歩5分 都営大江戸線/本郷三丁目駅 歩17分,築8年,15階建,8階,2DK,46.44m2,21.5万円,15000円
都営三田線 春日駅 15階建 築8年,東京都文京区小石川３,都営三田線/春日駅 歩8分 東京メトロ丸ノ内線/後楽園駅 歩9分 東京メトロ南北線/東大前駅 歩19分,築8年,15階建,8階,2DK,46.44m2,21.5万円,15000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1K,27.11m2,11.7万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1K,27.11m2,11.7万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1K,27.11m2,11.8万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1K,27.11m2,11.8万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1K,27.11m2,12.1万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1K,27.11m2,12.1万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1K,27.11m2,12.1万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1K,27.11m2,12.2万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,3階,1K,27.11m2,12.7万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1LDK,43.06m2,19.2万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1LDK,43.06m2,19.3万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1LDK,43.06m2,19.6万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1LDK,43.06m2,19.7万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1LDK,43.06m2,19.7万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,4階,1LDK,43.06m2,20.2万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,4階,1LDK,43.06m2,20.3万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,4階,1LDK,43.06m2,20.8万円,10000円
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩10分 ＪＲ中央線/水道橋駅 歩10分,築16年,14階建,11階,1K,20.22m2,8.2万円,10000円
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩10分 ＪＲ中央線/水道橋駅 歩10分,築16年,14階建,12階,1K,20.22m2,8.2万円,10000円
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩10分 ＪＲ中央線/水道橋駅 歩10分,築16年,14階建,11階,1K,20.22m2,8.4万円,10000円
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩10分 ＪＲ中央線/水道橋駅 歩10分,築16年,14階建,11階,1K,20.22m2,8.9万円,10000円
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩10分 ＪＲ中央線/水道橋駅 歩10分,築16年,14階建,12階,1K,20.22m2,9.4万円,10000円
ルフォンプログレ文京湯島,東京都文京区湯島３,東京メトロ千代田線/湯島駅 歩3分 東京メトロ銀座線/末広町駅 歩5分 ＪＲ山手線/御徒町駅 歩9分,築4年,14階建,3階,1DK,29.48m2,16.1万円,10000円
ルフォンプログレ文京湯島,東京都文京区湯島３,東京メトロ千代田線/湯島駅 歩3分 東京メトロ銀座線/末広町駅 歩5分 ＪＲ山手線/御徒町駅 歩9分,築4年,14階建,10階,1DK,29.48m2,16.9万円,10000円
ルフォンプログレ文京湯島,東京都文京区湯島３,東京メトロ千代田線/湯島駅 歩3分 東京メトロ銀座線/末広町駅 歩5分 ＪＲ山手線/御徒町駅 歩9分,築4年,14階建,4階,2LDK,53.26m2,28万円,15000円
ナーベルお茶の水,東京都文京区湯島１,ＪＲ中央線/御茶ノ水駅 歩4分 東京メトロ丸ノ内線/本郷三丁目駅 歩7分 東京メトロ千代田線/新御茶ノ水駅 歩8分,築21年,地下1地上15階建,9階,1LDK,50.86m2,17.4万円,15000円
ナーベルお茶の水,東京都文京区湯島１,ＪＲ中央線/御茶ノ水駅 歩4分 東京メトロ丸ノ内線/本郷三丁目駅 歩7分 東京メトロ千代田線/新御茶ノ水駅 歩8分,築21年,地下1地上15階建,9階,1LDK,57.46m2,19.9万円,15000円
レジディア文京本郷III,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩6分 ＪＲ中央線/御茶ノ水駅 歩8分 東京メトロ千代田線/新御茶ノ水駅 歩12分,築10年,11階建,7階,1K,25.44m2,11.5万円,10000円
レジディア文京本郷III,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩6分 ＪＲ中央線/御茶ノ水駅 歩8分 東京メトロ千代田線/新御茶ノ水駅 歩12分,築10年,11階建,7階,1K,25.44m2,12万円,10000円
レジディア文京本郷III,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩6分 ＪＲ中央線/御茶ノ水駅 歩8分 東京メトロ千代田線/新御茶ノ水駅 歩12分,築10年,11階建,11階,1K,25.44m2,12.2万円,10000円
レジディア文京本郷III,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩6分 ＪＲ中央線/御茶ノ水駅 歩8分 東京メトロ千代田線/新御茶ノ水駅 歩12分,築10年,11階建,11階,1LDK,40.15m2,19.3万円,15000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,3階,1K,26.65m2,10.8万円,12000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,3階,1K,26.65m2,11.3万円,12000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,7階,1LDK,38.57m2,15.5万円,12000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,11階,1LDK,38.78m2,15.6万円,12000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,11階,1LDK,38.78m2,15.6万円,12000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,11階,1LDK,38.78m2,15.6万円,12000円
ドルチェ文京千駄木,東京都文京区千駄木３,ＪＲ山手線/西日暮里駅 歩5分 東京メトロ千代田線/千駄木駅 歩5分 東京メトロ南北線/本駒込駅 歩17分,築18年,14階建,10階,1K,24.17m2,8.4万円,6000円
東京メトロ丸ノ内線 茗荷谷駅 地下1地上9階建 築13年,東京都文京区小石川４,東京メトロ丸ノ内線/茗荷谷駅 歩9分 都営三田線/白山駅 歩16分 都営三田線/春日駅 歩16分,築13年,地下1地上9階建,5階,1LDK,44.75m2,18.5万円,10000円
Kukai Terrace茗荷谷,東京都文京区小日向４,東京メトロ丸ノ内線/茗荷谷駅 歩1分 東京メトロ有楽町線/江戸川橋駅 歩14分 東京メトロ有楽町線/護国寺駅 歩16分,築6年,4階建,3階,1LDK,37.17m2,15.5万円,10000円
ＪＲ山手線 駒込駅 14階建 築6年,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩7分 都営三田線/千石駅 歩12分 東京メトロ南北線/本駒込駅 歩15分,築6年,14階建,6階,1K,26.65m2,10万円,15000円
ＪＲ山手線 駒込駅 14階建 築6年,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩7分 都営三田線/千石駅 歩12分 東京メトロ南北線/本駒込駅 歩15分,築6年,14階建,2階,1K,26.5m2,10万円,15000円
Masaji-Toki（マサジトキ）,東京都文京区大塚１,東京メトロ有楽町線/護国寺駅 歩4分 東京メトロ有楽町線/江戸川橋駅 歩8分 東京メトロ丸ノ内線/茗荷谷駅 歩13分,築6年,3階建,3階,3LDK,81.21m2,39.3万円,10000円
ガーデンテラス白山,東京都文京区白山５,都営三田線/白山駅 歩5分 東京メトロ南北線/本駒込駅 歩8分 都営三田線/千石駅 歩8分,築9年,4階建,1-2階,2SLDK,75.97m2,36.5万円,-
都営大江戸線 飯田橋駅 15階建 築19年,東京都文京区春日２,都営大江戸線/飯田橋駅 歩8分 ＪＲ総武線/飯田橋駅 歩10分 東京メトロ丸ノ内線/後楽園駅 歩9分,築19年,15階建,1階,1K,26.39m2,11.9万円,8000円
都営大江戸線 飯田橋駅 15階建 築19年,東京都文京区春日２,都営大江戸線/飯田橋駅 歩8分 ＪＲ総武線/飯田橋駅 歩10分 東京メトロ丸ノ内線/後楽園駅 歩9分,築19年,15階建,8階,2LDK,57.04m2,25.7万円,12000円
都営大江戸線 飯田橋駅 15階建 築19年,東京都文京区春日２,都営大江戸線/飯田橋駅 歩8分 ＪＲ総武線/飯田橋駅 歩10分 東京メトロ丸ノ内線/後楽園駅 歩9分,築19年,15階建,14階,3LDK,68.94m2,29.5万円,15000円
ステージファースト東大前,東京都文京区西片２,東京メトロ南北線/東大前駅 歩5分 都営三田線/白山駅 歩9分 東京メトロ千代田線/根津駅 歩13分,築13年,9階建,7階,1LDK,41.11m2,14.9万円,10000円
ステージファースト東大前,東京都文京区西片２,東京メトロ南北線/東大前駅 歩5分 都営三田線/白山駅 歩9分 東京メトロ千代田線/根津駅 歩13分,築13年,9階建,7階,1LDK,41.11m2,14.9万円,10000円
ソレアード茗荷谷,東京都文京区大塚３,東京メトロ丸ノ内線/茗荷谷駅 歩8分 都営三田線/千石駅 歩13分 東京メトロ丸ノ内線/新大塚駅 歩16分,築9年,6階建,5階,2LDK,54.28m2,17.6万円,10000円
サルーテ白山,東京都文京区白山１,都営三田線/白山駅 歩4分 東京メトロ南北線/本駒込駅 歩10分 東京メトロ千代田線/千駄木駅 歩19分,築23年,2階建,2階,2LDK,63.25m2,16.8万円,5000円
パークキューブ春日安藤坂,東京都文京区春日２,ＪＲ中央線/飯田橋駅 歩12分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩13分,築19年,15階建,1階,1K,26.39m2,11.9万円,8000円
パークキューブ春日安藤坂,東京都文京区春日２,ＪＲ中央線/飯田橋駅 歩12分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩13分,築19年,15階建,3階,1LDK,41.98m2,16.9万円,10000円
パークキューブ春日安藤坂,東京都文京区春日２,ＪＲ中央線/飯田橋駅 歩12分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩13分,築19年,15階建,3階,2LDK,55.92m2,24万円,12000円
パークキューブ春日安藤坂,東京都文京区春日２,ＪＲ中央線/飯田橋駅 歩12分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩13分,築19年,15階建,8階,2LDK,57.04m2,25.7万円,12000円
パークキューブ春日安藤坂,東京都文京区春日２,ＪＲ中央線/飯田橋駅 歩12分 東京メトロ丸ノ内線/後楽園駅 歩10分 都営大江戸線/春日駅 歩13分,築19年,15階建,14階,3LDK,68.94m2,29.5万円,15000円
東京メトロ千代田線 千駄木駅 15階建 築1年,東京都文京区千駄木２,東京メトロ千代田線/千駄木駅 歩6分 東京メトロ南北線/東大前駅 歩8分 東京メトロ千代田線/根津駅 歩7分,築1年,15階建,1階,1LDK,31.43m2,14万円,15000円
東京メトロ千代田線 千駄木駅 15階建 築1年,東京都文京区千駄木２,東京メトロ千代田線/千駄木駅 歩6分 東京メトロ南北線/東大前駅 歩8分 東京メトロ千代田線/根津駅 歩7分,築1年,15階建,4階,2LDK,57.06m2,30.5万円,15000円
東京メトロ有楽町線 護国寺駅 12階建 築16年,東京都文京区音羽１,東京メトロ有楽町線/護国寺駅 歩7分 東京メトロ有楽町線/江戸川橋駅 歩10分 東京メトロ丸ノ内線/茗荷谷駅 歩14分,築16年,12階建,8階,1LDK,44.6m2,15.3万円,10000円
ザ・レジデンス・オブ・トーキョーY11,東京都文京区大塚５,東京メトロ有楽町線/護国寺駅 歩4分 東京メトロ丸ノ内線/新大塚駅 歩7分 東京メトロ丸ノ内線/茗荷谷駅 歩11分,築13年,8階建,7階,1K,25.86m2,9万円,10000円
ザ・レジデンス・オブ・トーキョーY11,東京都文京区大塚５,東京メトロ有楽町線/護国寺駅 歩4分 東京メトロ丸ノ内線/新大塚駅 歩7分 東京メトロ丸ノ内線/茗荷谷駅 歩11分,築13年,8階建,5階,1LDK,43.29m2,14.4万円,-
東京メトロ有楽町線 護国寺駅 8階建 築13年,東京都文京区大塚５,東京メトロ有楽町線/護国寺駅 歩4分 東京メトロ丸ノ内線/茗荷谷駅 歩10分 ＪＲ山手線/大塚駅 歩15分,築13年,8階建,7階,ワンルーム,25.86m2,9万円,10000円
東京メトロ有楽町線 護国寺駅 8階建 築13年,東京都文京区大塚５,東京メトロ有楽町線/護国寺駅 歩4分 東京メトロ丸ノ内線/茗荷谷駅 歩10分 ＪＲ山手線/大塚駅 歩15分,築13年,8階建,5階,1LDK,43.29m2,14.4万円,-
パークコート文京小石川ザタワー,東京都文京区小石川１,都営大江戸線/春日駅 歩1分 東京メトロ丸ノ内線/後楽園駅 歩2分 ＪＲ中央線/水道橋駅 歩13分,築3年,地下2地上40階建,15階,1LDK,42.23m2,24.5万円,10000円
パークコート文京小石川ザタワー,東京都文京区小石川１,都営大江戸線/春日駅 歩1分 東京メトロ丸ノ内線/後楽園駅 歩2分 ＪＲ中央線/水道橋駅 歩13分,築3年,地下2地上40階建,20階,2LDK,68.02m2,40.2万円,-
パークコート文京小石川ザタワー,東京都文京区小石川１,都営大江戸線/春日駅 歩1分 東京メトロ丸ノ内線/後楽園駅 歩2分 ＪＲ中央線/水道橋駅 歩13分,築3年,地下2地上40階建,37階,2LDK,61.89m2,46万円,-
パークコート文京小石川ザタワー,東京都文京区小石川１,都営大江戸線/春日駅 歩1分 東京メトロ丸ノ内線/後楽園駅 歩2分 ＪＲ中央線/水道橋駅 歩13分,築3年,地下2地上40階建,13階,3LDK,81.62m2,53万円,-
パークコート文京小石川ザタワー,東京都文京区小石川１,都営大江戸線/春日駅 歩1分 東京メトロ丸ノ内線/後楽園駅 歩2分 ＪＲ中央線/水道橋駅 歩13分,築3年,地下2地上40階建,13階,3LDK,81.62m2,53万円,-
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,4階,1LDK,26.9m2,14.5万円,10000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,2階,1DK,25.3m2,14.5万円,10000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,5階,1LDK,33.78m2,18.1万円,10000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,3階,1LDK,39.59m2,19.1万円,10000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,3階,1LDK,39.59m2,19.1万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,3階,1LDK,41.23m2,19.8万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,1階,2LDK,50.65m2,23万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,2階,2DK,41.12m2,23.3万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,2階,1LDK,46.39m2,23.9万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,4階,2DK,41.12m2,24.3万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,1階,2LDK,50.65m2,24.5万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,2階,2LDK,47.94m2,24.5万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,2階,1LDK,54.64m2,25.5万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,2階,2DK,41.12m2,25.5万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,2階,2LDK,50.65m2,26.4万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,5階,2LDK,50.65m2,27.8万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,6階,2LDK,50.65m2,28.3万円,15000円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,4階,1LDK,54.64m2,30万円,1500円
Brillia ist 文京六義園,東京都文京区本駒込６,都営三田線/千石駅 歩4分 ＪＲ山手線/巣鴨駅 歩8分 ＪＲ山手線/駒込駅 歩13分,新築,6階建,6階,2LDK,63.71m2,34.4万円,15000円
オープンレジデンシア本郷後楽園,東京都文京区本郷１,都営大江戸線/春日駅 歩2分 東京メトロ丸ノ内線/後楽園駅 歩3分 ＪＲ総武線/水道橋駅 歩9分,築5年,11階建,3階,1LDK,32.46m2,15万円,17000円
東京メトロ銀座線 神田駅 17階建 築7年,東京都文京区湯島１,東京メトロ銀座線/神田駅 歩10分 ＪＲ総武線/御茶ノ水駅 歩8分 ＪＲ山手線/秋葉原駅 歩7分,築7年,17階建,15階,1LDK,44.76m2,20.5万円,15000円
東京メトロ銀座線 神田駅 17階建 築7年,東京都文京区湯島１,東京メトロ銀座線/神田駅 歩10分 ＪＲ総武線/御茶ノ水駅 歩8分 ＪＲ山手線/秋葉原駅 歩7分,築7年,17階建,12階,1LDK,44.75m2,20.8万円,15000円
東京メトロ銀座線 神田駅 17階建 築7年,東京都文京区湯島１,東京メトロ銀座線/神田駅 歩10分 ＪＲ総武線/御茶ノ水駅 歩8分 ＪＲ山手線/秋葉原駅 歩7分,築7年,17階建,7階,2LDK,56.07m2,29万円,15000円
東京メトロ銀座線 神田駅 17階建 築7年,東京都文京区湯島１,東京メトロ銀座線/神田駅 歩10分 ＪＲ総武線/御茶ノ水駅 歩8分 ＪＲ山手線/秋葉原駅 歩7分,築7年,17階建,14階,2LDK,56.94m2,29.5万円,15000円
コンフォリア春日富坂,東京都文京区春日１,東京メトロ丸ノ内線/後楽園駅 歩7分 都営三田線/春日駅 歩8分 ＪＲ中央線/飯田橋駅 歩15分,築16年,地下1地上12階建,6階,1K,21.47m2,9.7万円,8000円
コンフォリア春日富坂,東京都文京区春日１,東京メトロ丸ノ内線/後楽園駅 歩7分 都営三田線/春日駅 歩8分 ＪＲ中央線/飯田橋駅 歩15分,築16年,地下1地上12階建,5階,1K,21.47m2,9.8万円,8000円
コンフォリア春日富坂,東京都文京区春日１,東京メトロ丸ノ内線/後楽園駅 歩7分 都営三田線/春日駅 歩8分 ＪＲ中央線/飯田橋駅 歩15分,築16年,地下1地上12階建,6階,ワンルーム,28.33m2,12.7万円,8000円
コンフォリア春日富坂,東京都文京区春日１,東京メトロ丸ノ内線/後楽園駅 歩7分 都営三田線/春日駅 歩8分 ＪＲ中央線/飯田橋駅 歩15分,築16年,地下1地上12階建,7階,1LDK,42.94m2,18.7万円,-
コンフォリア春日富坂,東京都文京区春日１,東京メトロ丸ノ内線/後楽園駅 歩7分 都営三田線/春日駅 歩8分 ＪＲ中央線/飯田橋駅 歩15分,築16年,地下1地上12階建,9階,1LDK,42.94m2,18万円,10000円
コンフォリア春日富坂,東京都文京区春日１,東京メトロ丸ノ内線/後楽園駅 歩7分 都営三田線/春日駅 歩8分 ＪＲ中央線/飯田橋駅 歩15分,築16年,地下1地上12階建,7階,1LDK,42.94m2,18.7万円,10000円
